pid,pid,country,pname,brand,price
B00TX5OVJE,B00TX5OVJE,de,"Samsung Galaxy S6 Smartphone 12,9 cm blau",Samsung,565.41
B00F8JHFWO,B00F8JHFWO,de,"Apple iPhone 5C Smartphone 10,2 cm gr¨¹n",Apple,
B00IBD7JZC,B00IBD7JZC,de,"Samsung Galaxy Note 3 Neo Smartphone 5,49 Zoll schwarz",Samsung,
B01H1H5O82,B01H1H5O82,de,"Samsung Galaxy S7 SM-G930F Smartphone (13 cm (5,1 Zoll, Android), 32GB, Android) schwarz",Samsung,
B01M69GD7J,B01M69GD7J,de,Google Pixel XL Smartphone (silber/128GB),Google,
B015AADV5U,B015AADV5U,de,"Apple iPhone 6S - Smartphone, MKQV2ZD/A",Apple,742.39
B015COHYWK,B015COHYWK,de,Apple iPhone 6s Plus 128GB Spacegrau (MKUE2ZD/A),Apple,
B01LWBPRBA,B01LWBPRBA,de,Bot Check,Bot,
B00004YV47,B00004YV47,de,Bot Check,Bot,
B01LTGWVPK,B01LTGWVPK,de,Bot Check,Bot,
B01LWAWVSO,B01LWAWVSO,de,Bot Check,Bot,
B00OLSTPIA,B00OLSTPIA,de,Bot Check,Bot,
B01LW9KGD4,B01LW9KGD4,de,Bot Check,Bot,
B00TX5ORZC,B00TX5ORZC,de,"Samsung Galaxy S6 Smartphone 12,9 cm gold",Samsung,599.9
B01G0D18ZG,B01G0D18ZG,de,Bot Check,Bot,
B01LW9KS6U,B01LW9KS6U,de,'Apple iPhone 7?Smartphone 4?g Gold,Apple,797.9
B00NQGP4EW,B00NQGP4EW,de,Apple MG4H2B/A - iPhone 6 Sim Free 64GB - Silver,Apple,
B01LW5Q46H,B01LW5Q46H,de,Bot Check,Bot,
B01MFC8Q96,B01MFC8Q96,de,Bot Check,Bot,
B009DSPB5E,B009DSPB5E,de,Apple iPhone 5 Smartphone weiss/wei? - 64GB,Apple,
B00DELED3C,B00DELED3C,de,Bot Check,Bot,
B01MTIP4UO,B01MTIP4UO,de,Bot Check,Bot,
B01LTGYYYG,B01LTGYYYG,de,Bot Check,Bot,
B01DVQB7J2,B01DVQB7J2,de,Bot Check,Bot,
B00TX5PVWA,B00TX5PVWA,de,Bot Check,Bot,
B01BYD0TZM,B01BYD0TZM,de,Bot Check,Bot,
B01KVVG1V4,B01KVVG1V4,de,Samsung Galaxy S7&nbsp;Edge mit Dual-SIM,Samsung,
B00GUC29L0,B00GUC29L0,de,Bot Check,Bot,
B00TX5Q2HS,B00TX5Q2HS,de,Bot Check,Bot,
B00ORXDFDU,B00ORXDFDU,de,Bot Check,Bot,
B00G4DTR0G,B00G4DTR0G,de,Bot Check,Bot,
B01ID1R4PG,B01ID1R4PG,de,Bot Check,Bot,
B01EGCN3VK,B01EGCN3VK,de,Bot Check,Bot,
B007I782J4,B007I782J4,de,Bot Check,Bot,
B00TX5OZ6S,B00TX5OZ6S,de,Bot Check,Bot,
B0096LU8AG,B0096LU8AG,de,Bot Check,Bot,
B01537RK84,B01537RK84,de,Bot Check,Bot,
B0171WW5S4,B0171WW5S4,de,Bot Check,Bot,
B01N30UHMS,B01N30UHMS,de,Bot Check,Bot,
B01957IZ3M,B01957IZ3M,de,Bot Check,Bot,
B01LZHHRBT,B01LZHHRBT,de,Bot Check,Bot,
B014RMHFAO,B014RMHFAO,de,Bot Check,Bot,
B01DO2XI2M,B01DO2XI2M,de,Bot Check,Bot,
B016NS6GM8,B016NS6GM8,de,Bot Check,Bot,
B01J7DKVV8,B01J7DKVV8,de,Bot Check,Bot,
B01LWAWBYG,B01LWAWBYG,de,Bot Check,Bot,
B01DQFCEUY,B01DQFCEUY,de,Bot Check,Bot,
B00U6GXPF0,B00U6GXPF0,de,Bot Check,Bot,
