pid,country,pname,brand,price
B0046B8WLS,de,Apple IPHONE 4 BLACK - Mobiltelefon - 16.384 MB,Apple,
B0046HT9AU,de,Bot Check,Bot,
B0046HX1T0,de,Bot Check,Bot,
B0046HYSM4,de,Bot Check,Bot,
B0046SYQG6,de,Bot Check,Bot,
B0046TX6XE,de,Bot Check,Bot,
B0046YBAJQ,de,Bot Check,Bot,
B0047N6Z6Y,de,Sony SNCA-HRX550/EXT - Kamerageh?use f邦r,Sony,699.0
B004BKMJAY,de,Bot Check,Bot,
B004C67AC4,de,T-Mobile T-Mobile-Aktion Nokia C7-00 an,T-Mobile,
B004DENHP4,de,Bot Check,Bot,
B004DR8KOO,de,Bot Check,Bot,
B004FEKBG0,de,Bot Check,Bot,
B004FN0GQG,de,Bot Check,Bot,
B004FN8DRK,de,Bot Check,Bot,
B004FRLIWS,de,Bot Check,Bot,
B004G99QV0,de,Bot Check,Bot,
B004I45ILK,de,Bot Check,Bot,
B004JM61A8,de,Bot Check,Bot,
B004JQPZU6,de,Bot Check,Bot,
B004T4LTNK,de,Bot Check,Bot,
B004UR0ZKO,de,TELEKOM HTC 7 Pro 8GB anthrazit,TELEKOM,
B004XBQ9HK,de,Samsung Galaxy S II DualCore Smartphone 4.3 Zoll,Samsung,
B004XBQL5K,de,Bot Check,Bot,
B004YRBM1Q,de,Bot Check,Bot,
B004YWLD5Q,de,Bot Check,Bot,
B004YZF14C,de,"HP Veer Smartphone 2,6 Zoll schwarz",Hewlett-Packard,
B004Z2NKKG,de,Bot Check,Bot,
B0050HJN06,de,Bot Check,Bot,
B0052WHSGU,de,Bot Check,Bot,
B0052ZN9ZQ,de,Bot Check,Bot,
B00535A7G4,de,Bot Check,Bot,
B0055BBEZ4,de,Bot Check,Bot,
B00564PEWO,de,Bot Check,Bot,
B0058HTWFO,de,Bot Check,Bot,
B0058HTWJU,de,Bot Check,Bot,
B005908W9W,de,Samsung Galaxy S Plus I9001 Smartphone 4 Zoll ceramic,Samsung,349.0
B005BN1Z1E,de,Bot Check,Bot,
B005BN1Z4Q,de,Bot Check,Bot,
B005CLJ3MS,de,Bot Check,Bot,
B005FIY8NW,de,Bot Check,Bot,
B005FLITFW,de,"Samsung Galaxy S II i9100 DualCore Smartphone 4,3 Zoll",Samsung,
B005G2L7OA,de,Bot Check,Bot,
B005HNTO5M,de,Bot Check,Bot,
B005HSR7K6,de,"Nokia N9 Smartphone 3,9 Zoll schwarz",Microsoft,
B005JS9DVK,de,Bot Check,Bot,
B005K7ZML0,de,Bot Check,Bot,
B005KJ6MDA,de,Bot Check,Bot,
B005KJ6ML2,de,Bot Check,Bot,
B005KPD7SW,de,Bot Check,Bot,
B005LAVADU,de,Bot Check,Bot,
B005LBTPFY,de,Bot Check,Bot,
B005LVL6HE,de,Bot Check,Bot,
B005OUWE9Q,de,"HTC Sensation Smartphone 4,3 Zoll wei?",HTC,
B005SSBE7W,de,Apple iPhone 4S 64 GB wei?,Apple,
B005T3BBOC,de,O2 AKTION MOTOROLA DEFY+ - Mobiltelefon,O2,
B005UEF6J6,de,Bot Check,Bot,
B005UEF6QY,de,"Apple iPhone 4S Smartphone 3,5 Zoll wei?",Apple,
B005UEF72M,de,Bot Check,Bot,
B005UL5B1M,de,Bot Check,Bot,
B005V7R546,de,Bot Check,Bot,
B005XLW7AM,de,Bot Check,Bot,
B005YI9TKA,de,Bot Check,Bot,
B0062ZFSCM,de,Bot Check,Bot,
B0063UENAO,de,Bot Check,Bot,
B0064JAHUO,de,Bot Check,Bot,
B00661SIXI,de,Bot Check,Bot,
B0068OK5BG,de,Bot Check,Bot,
B0069TZEN4,de,O2 o2-Aktion Nokia Lumia 800 schw.,O2,
B006FGWVN2,de,Bot Check,Bot,
B006GJTC2G,de,Bot Check,Bot,
B006H97Y16,de,T-Mobile Nokia Lumia 800 Blau - Smartphones,Nokia,
B006INEPYA,de,Motorola RAZR V3im neuen freien und,Motorola,
B006JYQS52,de,Bot Check,Bot,
B006M03GR6,de,Bot Check,Bot,
B006R0Z1EC,de,,,
B006SUIHY2,de,Bot Check,Bot,
B006T2KTVS,de,Bot Check,Bot,
B006W0YTKE,de,Bot Check,Bot,
B006W0YTWW,de,Bot Check,Bot,
B0075M03XU,de,Bot Check,Bot,
B0077QND2C,de,Bot Check,Bot,
B0078L3MJU,de,Bot Check,Bot,
B0079XDF44,de,Bot Check,Bot,
B007A2K9YS,de,Bot Check,Bot,
B007C42M08,de,"Panasonic Eluga Smartphone 4,3 Zoll silber",Panasonic,
B007G6MKUY,de,Xperia S - schwarz,Xperia,
B007HK71TY,de,Bot Check,Bot,
B007HK72J8,de,Sony Xperia P Smartphone 4 Zoll rot,Sony,299.9
B007I782J4,de,Bot Check,Bot,
B007JXMH52,de,HTC One X Smartphone 99hrl 003-00 GSM,HTC,
B007PZGHX2,de,Bot Check,Bot,
B007R3PVXY,de,LG E610 Optimus L5 Smartphone 4 Zoll schwarz,LGElectronics,
B007RME0E6,de,BlackBerry 9790 Bold Vodafone Branding ohne Vertrag,Blackberry,249.9
B007T42D00,de,"Huawei Ascend P1 Smartphone 4,3 Zoll wei?",Huawei,
B007TH66UA,de,Bot Check,Bot,
B007TSI8C8,de,Bot Check,Bot,
B007UN4DQ2,de,Bot Check,Bot,
B007VKAJYY,de,Bot Check,Bot,
B007VKAN8G,de,Nokia 808 PureView Smartphone 16GB 4 Zoll wei?,Microsoft,
B007VOF51M,de,Bot Check,Bot,
B007ZS68UG,de,Bury CP 1000 CarPhone - Mobiltelefon f邦r das Auto,THBBury,349.0
B0080E5G7A,de,Bot Check,Bot,
B0082B8P1U,de,Bot Check,Bot,
B0083HGBW8,de,Bot Check,Bot,
B0084IL4R8,de,Bot Check,Bot,
B0084Y5VXU,de,Bot Check,Bot,
B0085ASZ90,de,Bot Check,Bot,
B0085PBFN8,de,Bot Check,Bot,
B0085PBKO2,de,Bot Check,Bot,
B0085T6OX0,de,Nokia Lumia 610 Smartphone,Microsoft,
B0085WXNTU,de,Bot Check,Bot,
B0087O7UAY,de,Bot Check,Bot,
B0087O7XAQ,de,Bot Check,Bot,
B0089X8VJM,de,Bot Check,Bot,
B008DG4T1Y,de,Bot Check,Bot,
B008DR3PNG,de,Bot Check,Bot,
B008E986K0,de,Bot Check,Bot,
B008HQSIK8,de,Bot Check,Bot,
B008PUWS4S,de,Bot Check,Bot,
B008R0XTB2,de,Bot Check,Bot,
B0091O6EV0,de,"swisstone BBM 320 - Seniorenhandy mit Notruftaste 1,7",swisstone,29.99
B0096E5S4Y,de,Bot Check,Bot,
B0096LU8AG,de,Bot Check,Bot,
B0097CZF5C,de,Apple iPhone 5 32 GB Schwarz - Entsperrte,Apple,459.77
B0099LAU56,de,Bot Check,Bot,
B009C5VLZM,de,Bot Check,Bot,
B009DSHCEC,de,Bot Check,Bot,
B009DSPB5E,de,Apple iPhone 5 Smartphone weiss/wei? - 64GB,Apple,
B009DSQNKQ,de,Bot Check,Bot,
B009EDXHJU,de,Bot Check,Bot,
B009ES784U,de,Bot Check,Bot,
B009ETBBJM,de,Bot Check,Bot,
B009EVP3A8,de,"Sony Xperia S Smartphone 4,3 Zoll silber-grau",Sony,299.9
B009F1ONZ8,de,Bot Check,Bot,
B009F5U060,de,Bot Check,Bot,
B009GHTY14,de,Bot Check,Bot,
B009JY1C28,de,Bot Check,Bot,
B009ORDCX2,de,Bot Check,Bot,
B009PJHAS2,de,Bot Check,Bot,
B009VEDHSI,de,Bot Check,Bot,
B009W7HMEE,de,Bot Check,Bot,
B009YX7IUE,de,Bot Check,Bot,
B009ZCB26A,de,Lenovo RAZR I XT890 NFC Smartphone Compact 8192 MB,Lenovo,
B009ZZ4G0G,de,Bot Check,Bot,
